,mass_range,intensity_range,time_range,prominence,left_bases_scan,right_bases_scan,peaks_m/z,peaks_intensity,number_of_points,peak_width,area
0,"[array([225.1321, 109.8017, 225.1318, 225.1311, 225.1321])]","[array([646.7008, 719.4524, 767.1047, 759.3707, 763.5938])]","[array([1.0232, 2.3785, 3.7306, 5.0877, 6.4381])]",120.40390000000002,1,6,225.1318,767.1047,5,4.544221962743006,2951.0751
1,[array([109.8018])],[array([548.8046])],[array([7.7945])],0.0,6,7,225.1324,666.2446,1,0.0,0.0
2,"[array([], dtype=float64)]","[array([], dtype=float64)]","[array([], dtype=float64)]",0.0,10,10,225.1288,615.3881,0,0.0,0.0
3,[array([225.1312])],[array([773.5183])],[array([15.9179])],0.0,12,13,225.1309,790.7899,1,0.0,0.0
4,[array([225.1299])],[array([858.4575])],[array([21.3384])],0.0,16,17,225.1299,858.4575,1,0.0,0.0
5,"[array([225.1302, 109.8019, 225.13  ])]","[array([587.1705, 728.9705, 645.6526])]","[array([22.6857, 24.0411, 25.3965])]",0.0,17,20,225.131,776.9273,3,0.0,1345.3820500000002
6,[array([225.1291])],[array([690.5222])],[array([29.4561])],0.0,22,23,225.1291,690.5222,1,0.0,0.0
7,[array([225.1237])],[array([741.5535])],[array([33.5158])],0.0,25,26,225.1237,741.5535,1,0.0,0.0
8,[array([225.1288])],[array([612.7554])],[array([37.5794])],0.0,28,29,225.1288,612.7554,1,0.0,0.0
9,"[array([855.3932, 225.1147])]","[array([541.002, 745.688])]","[array([41.6392, 43.0008])]",165.70939999999996,31,33,225.1147,745.688,2,1.8095785740109243,643.345
10,[array([225.1125])],[array([579.9786])],[array([44.3471])],0.0,33,34,109.8014,646.7036,1,0.0,0.0
