,prominence,left_bases_scan,right_bases_scan,peaks_m/z,peaks_intensity
0,120.40390000000002,1,6,225.1318,767.1047
1,0.0,6,7,225.1324,666.2446
2,0.0,10,10,225.1288,615.3881
3,0.0,12,13,225.1309,790.7899
4,0.0,16,17,225.1299,858.4575
5,0.0,17,20,225.131,776.9273
6,0.0,22,23,225.1291,690.5222
7,0.0,25,26,225.1237,741.5535
8,0.0,28,29,225.1288,612.7554
9,165.70939999999996,31,33,225.1147,745.688
10,0.0,33,34,109.8014,646.7036
11,240.4317000000001,29,44,225.1264,845.2593
12,0.0,41,42,225.1281,756.752
13,117.34199999999998,42,44,225.1283,815.5515
14,0.0,44,45,225.1302,642.093
15,0.0,47,47,109.8014,636.8901
16,0.0,44,49,225.1263,737.4826
17,0.0,44,51,225.1287,749.1717
18,0.0,56,56,225.1306,656.1121
19,0.0,75,76,109.801,583.3167
20,0.0,78,78,225.1208,611.323
21,0.0,80,80,225.1212,789.6589
22,0.0,86,87,225.1278,677.0231
23,0.0,87,88,225.1268,689.3138
24,1113004.5,29,93,207.0567,6683812.0
25,0.0,93,93,209.0722,5570807.5
26,0.0,29,97,100.0754,7822354.0
27,0.0,99,100,100.0755,8770856.0
28,0.0,102,103,100.0756,9638576.0
29,689058.0,29,108,100.0755,10144793.0
30,120973.0,105,108,100.0755,9919317.0
31,0.0,113,113,100.0756,8635987.0
32,0.0,117,117,100.0756,7048005.0
33,0.0,121,121,100.0755,7557954.5
34,0.0,125,125,100.0756,6120658.0
35,337326.0,125,129,100.0756,6662745.0
36,0.0,131,277,100.0756,6984308.0
37,0.0,134,134,100.0755,6071327.0
38,0.0,136,136,100.0755,5666797.0
39,0.0,139,139,100.0755,4980285.5
40,718876.0,139,277,100.0755,5699161.5
41,0.0,144,150,100.0755,4982884.0
42,0.0,145,146,100.0756,4915870.0
43,0.0,148,150,100.0756,4894071.0
44,391533.5,150,277,100.0755,4997810.5
45,0.0,157,277,100.0755,4490724.5
46,0.0,161,161,100.0756,3963875.5
47,0.0,163,163,100.0756,3996393.0
48,0.0,165,277,100.0755,4004192.75
49,0.0,167,277,100.0755,3929126.0
50,0.0,169,171,100.0755,3806023.25
51,565204.5,171,277,100.0755,3863520.0
52,0.0,177,177,100.0755,3474975.75
53,0.0,186,186,100.0756,3121767.5
54,325258.5,186,190,100.0755,3515419.25
55,0.0,198,198,100.0756,3040222.0
56,0.0,202,202,100.0756,3026229.5
57,182096.5,204,206,100.0756,3188977.0
58,220650.75,206,211,100.0755,3195077.0
59,0.0,209,209,100.0756,3014565.25
60,0.0,211,211,100.0756,2974426.25
61,0.0,214,214,100.0756,2848264.25
62,0.0,217,217,100.0756,3032550.75
63,0.0,219,220,100.0756,2998215.0
64,242051.25,220,223,100.0755,3107988.0
65,473132.5,220,277,100.0756,3202314.75
66,0.0,228,228,100.0756,2782199.75
67,87617.0,231,233,100.0755,2866330.25
68,339609.75,231,277,100.0755,3027143.0
69,0.0,237,238,100.0755,2878505.0
70,21779.0,240,243,100.0756,2781307.75
71,0.0,246,247,100.0755,2769482.75
72,0.0,249,249,100.0755,2751307.25
73,0.0,261,263,100.0756,2663583.5
74,0.0,281,281,100.0756,2573786.5
75,302484.5,277,286,100.0755,2744686.25
76,0.0,285,286,100.0756,2527811.25
77,0.0,286,287,100.0756,2516206.75
78,0.0,290,290,100.0756,2496134.5
79,0.0,292,294,100.0756,2618446.75
80,0.0,296,297,100.0756,2695759.25
81,429878.0,277,304,100.0756,2860025.5
82,0.0,303,304,100.0756,2502231.75
83,0.0,308,308,100.0755,2742680.75
84,0.0,310,312,100.0756,2746567.25
85,0.0,312,312,100.0755,2575612.0
86,0.0,314,314,100.0756,2560282.25
87,209514.5,314,319,100.0755,2830295.0
88,0.0,319,319,100.0755,2620780.5
89,0.0,323,324,100.0755,2995672.25
90,0.0,324,325,100.0756,2677673.0
91,301904.5,324,337,100.0755,2920366.75
92,0.0,330,331,100.0755,2811903.0
93,0.0,333,334,100.0755,2810721.5
94,217347.75,334,337,100.0755,2865229.5
95,0.0,340,341,100.0755,2925125.5
96,0.0,345,345,100.0754,2857058.0
97,0.0,349,351,100.0756,2875400.5
98,0.0,351,351,100.0755,2823744.0
99,0.0,353,353,100.0755,2948852.25
100,0.0,357,358,100.0755,2864955.75
101,84732.5,358,361,100.0755,2959915.25
102,295960.75,358,384,100.0754,3133475.25
