,scan,m/z,rt,intensity
0,1,225.132,0.3909,675.2851
1,2,225.1321,1.0232,646.7008
2,3,109.8017,2.3785,719.4524
3,4,225.1318,3.7306,767.1047
4,5,225.1311,5.0877,759.3707
5,6,225.1321,6.4381,763.5938
6,7,109.8018,7.7945,548.8046
7,8,225.1324,9.147,666.2446
8,9,225.1302,10.5074,747.727
9,10,225.1268,11.8541,745.442
10,11,225.1288,13.2098,615.3881
11,12,225.1306,14.5616,822.5782
12,13,225.1312,15.9179,773.5183
13,14,225.1309,17.2692,790.7899
14,15,225.1319,18.6261,922.9449
15,16,225.1308,19.9777,886.9153
16,17,225.1299,21.3384,858.4575
17,18,225.1302,22.6857,587.1705
18,19,109.8019,24.0411,728.9705
19,20,225.13,25.3965,645.6526
20,21,225.131,26.7489,776.9273
21,22,225.1289,28.1005,855.0884
22,23,225.1291,29.4561,690.5222
23,24,109.8016,30.808,652.246
24,25,225.1153,32.1697,760.9274
25,26,225.1237,33.5158,741.5535
26,27,109.8017,34.8724,596.6094
27,28,225.1272,36.2251,893.3464
28,29,225.1288,37.5794,612.7554
29,30,225.1315,38.9311,533.2687
30,31,109.8016,40.2882,748.1271
31,32,855.3932,41.6392,541.002
32,33,225.1147,43.0008,745.688
33,34,225.1125,44.3471,579.9786
34,35,109.8014,45.7028,646.7036
35,36,225.1212,47.0547,814.7533
36,37,854.7076,48.4107,682.7887
37,38,225.1255,49.7621,789.0788
38,39,225.1264,51.1181,845.2593
39,40,225.1272,52.4707,833.7074
40,41,225.1275,53.832,778.2635
41,42,225.1281,55.1777,756.752
42,43,225.1293,56.5341,698.2095
43,44,225.1283,57.8865,815.5515
44,45,109.8014,59.2415,604.8276
45,46,225.1302,60.594,642.093
46,47,225.1235,61.9491,674.409
47,48,109.8014,63.301,636.8901
48,49,854.7594,64.6631,638.3502
49,50,225.1263,66.0088,737.4826
50,51,225.1284,67.3654,744.6713
51,52,225.1287,68.7174,749.1717
52,53,225.1281,70.0724,837.4933
53,54,225.1286,71.4271,630.5082
54,55,225.1278,72.7806,836.0925
55,56,225.1276,74.132,860.052
56,57,225.1306,75.4948,656.1121
57,58,225.1307,76.8406,797.1479
58,59,225.1311,78.1957,719.2665
59,60,109.8011,79.5476,556.2076
60,61,225.1281,80.9038,703.3484
61,62,225.1301,82.2552,767.0543
62,63,225.1305,83.6112,676.7484
63,64,225.1286,84.9633,717.2267
64,65,225.1293,86.3262,598.7706
65,66,225.1288,87.6707,728.1132
66,67,225.1304,89.0276,885.5635
67,68,225.1298,90.3786,717.7594
68,69,855.3942,91.7345,690.4733
69,70,225.132,93.0874,858.7301
70,71,225.1305,94.4427,753.5674
71,72,225.1296,95.7939,819.6458
72,73,225.1293,97.1564,740.541
73,74,854.6817,98.5024,809.9084
74,75,225.128,99.8577,943.0399
75,76,225.1243,101.21,565.0867
76,77,109.801,102.566,583.3167
77,78,225.1157,103.917,848.626
78,79,225.1208,105.273,611.323
79,80,225.1166,106.625,837.3807
80,81,225.1212,107.986,789.6589
81,82,225.1237,109.333,828.7114
82,83,225.1262,110.69,803.6353
83,84,225.1254,112.04,714.5037
84,85,225.1252,113.397,774.9713
85,86,225.1269,114.748,733.2982
86,87,225.1278,116.104,677.0231
87,88,109.8011,117.456,659.1426
88,89,225.1268,118.817,689.3138
89,90,225.1266,120.165,809.0361
90,91,225.1286,121.52,752.4269
91,92,207.0567,122.872,6683812.0
92,93,207.0568,123.762,5972116.5
93,94,209.0722,124.659,5570807.5
94,95,209.0725,125.557,5687776.5
95,96,100.0755,126.472,6822602.5
96,97,100.0755,127.376,7599748.0
97,98,100.0754,128.284,7822354.0
98,99,100.0755,129.197,9027023.0
99,100,100.0755,130.096,8292499.5
100,101,100.0755,131.019,8770856.0
101,102,100.0755,131.939,10042427.0
102,103,100.0756,132.837,9638576.0
103,104,100.0755,133.75,9107427.0
104,105,100.0755,134.675,10144793.0
105,106,100.0755,135.58,9798344.0
106,107,100.0755,136.49,9827445.0
107,108,100.0755,137.403,9919317.0
108,109,100.0755,138.305,9455735.0
109,110,100.0755,139.218,10498014.0
110,111,100.0756,140.113,9656329.0
111,112,100.0755,141.019,8248175.5
112,113,100.0756,141.929,9037323.0
113,114,100.0756,142.848,8635987.0
114,115,100.0755,143.769,8875661.0
115,116,100.0756,144.688,8188725.5
116,117,100.0755,145.619,8146513.5
117,118,100.0756,146.543,7048005.0
118,119,100.0756,147.486,8555396.0
119,120,100.0756,148.418,7992672.5
120,121,100.0756,149.353,7838225.0
121,122,100.0755,150.287,7557954.5
122,123,100.0756,151.231,7699759.5
123,124,100.0756,152.164,7695999.0
124,125,100.0755,153.094,7882417.5
125,126,100.0756,154.031,6120658.0
126,127,100.0756,154.993,6127133.5
127,128,100.0755,155.958,6655390.5
128,129,100.0756,156.91,6662745.0
129,130,100.0756,157.863,6325419.0
130,131,100.0755,158.826,7171420.5
131,132,100.0756,159.78,6984308.0
132,133,100.0755,160.716,6005801.0
133,134,100.0755,161.685,6415161.0
134,135,100.0755,162.642,6071327.0
135,136,100.0755,163.602,6802000.0
